Date,Year,Season,Field Stage,Stage Type,Pest,Pest Count/Damage,Threshold Status,Action,Pest_Diff,Pest_Trend_Sign,Field,YEAR,DOY,X,T2M,PRECTOTCORR,RH2M,WS2M,GWETROOT,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,WD2M,GWETTOP,TS,ALLSKY_SFC_LW_DWN,QV2M,PS,GWETPROF,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DIFF
2019-01-11,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,1.0,Below Threshold,0.0,-10.0,-,Field1,2019.0,11.0,1.0,22.24,12.04,93.95,0.84,0.84,3.46,25.2,19.91,58.9,0.86,23.86,34.73,17.12,98.75,0.87,1.0,4.86
2019-01-12,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,1.0,+,Field1,2019.0,12.0,5.0,23.14,1.83,85.33,0.86,0.84,6.45,27.46,19.43,52.9,0.84,24.13,34.35,16.76,98.69,0.87,1.73,8.45
2019-01-13,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,3.0,Below Threshold,0.0,1.0,+,Field1,2019.0,13.0,5.0,24.14,1.23,85.34,0.92,0.84,8.13,30.02,20.23,48.5,0.83,25.36,34.79,17.6,98.51,0.86,2.07,7.38
2019-01-14,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,3.0,Below Threshold,0.0,0.0,0,Field1,2019.0,14.0,3.0,22.57,0.27,86.91,1.2,0.83,9.06,27.68,18.84,44.3,0.83,24.42,33.74,16.5,98.51,0.86,2.08,5.34
2019-01-15,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,6.0,+,Field1,2019.0,15.0,10.0,22.23,0.01,83.19,1.38,0.83,9.18,28.55,17.82,52.1,0.82,23.85,33.23,15.57,98.62,0.86,2.16,5.69
2019-01-16,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,7.0,Economic Threshold,0.0,-2.0,-,Field1,2019.0,16.0,10.0,22.98,4.04,85.39,1.26,0.82,7.48,30.15,17.41,46.4,0.83,24.89,34.02,16.5,98.61,0.86,1.8,6.14
2019-01-17,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,6.0,Economic Threshold,0.0,-1.0,-,Field1,2019.0,17.0,9.0,23.48,0.28,78.74,1.19,0.82,7.61,29.6,18.62,37.3,0.82,24.78,34.11,15.66,98.59,0.86,1.94,8.37
2019-01-18,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,10.0,Economic Damage,0.0,4.0,+,Field1,2019.0,18.0,11.0,22.6,0.38,82.47,1.41,0.82,7.51,28.09,18.85,24.0,0.82,24.18,33.15,15.78,98.64,0.85,1.92,8.62
2019-01-19,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,4.0,Below Threshold,0.0,-6.0,-,Field1,2019.0,19.0,6.0,23.37,0.81,79.49,1.19,0.81,6.69,29.73,17.29,19.3,0.81,25.07,34.24,15.83,98.54,0.85,1.88,9.44
2019-01-20,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,10.0,Economic Damage,0.0,6.0,+,Field1,2019.0,20.0,10.0,24.03,2.63,88.49,1.89,0.81,6.22,28.07,22.07,344.9,0.82,25.55,34.47,18.46,98.34,0.85,1.84,9.32
2019-01-21,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,5.0,+,Field1,2019.0,21.0,15.0,24.08,0.76,89.53,1.18,0.81,7.2,28.32,21.83,326.1,0.81,25.66,34.87,18.82,98.3,0.85,1.84,7.37
2019-01-22,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,14.0,Economic Damage,0.0,-1.0,-,Field1,2019.0,22.0,16.0,25.07,0.26,83.21,1.3,0.81,7.58,31.22,21.64,358.2,0.81,26.63,34.94,18.79,98.29,0.84,1.98,8.85
2019-01-23,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,0.0,Below Threshold,0.0,-14.0,-,Field1,2019.0,23.0,0.0,23.97,13.22,91.08,0.9,0.81,7.37,28.66,21.83,323.1,0.83,25.41,35.14,18.97,98.33,0.84,1.85,7.47
2019-01-24,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,5.0,Economic Threshold,0.0,5.0,+,Field1,2019.0,24.0,8.0,24.48,10.85,87.26,0.7,0.82,7.56,28.63,21.69,108.7,0.84,25.74,35.95,18.63,98.46,0.85,2.0,8.17
2019-01-25,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,1.0,Below Threshold,0.0,-4.0,-,Field1,2019.0,25.0,1.0,25.28,26.74,82.35,0.84,0.84,7.97,30.29,21.01,39.3,0.87,26.63,34.9,18.21,98.56,0.86,1.98,7.1
2019-01-26,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,5.0,Economic Threshold,0.0,4.0,+,Field1,2019.0,26.0,6.0,24.41,11.72,88.41,1.68,0.84,2.82,28.67,21.43,23.3,0.86,26.12,35.09,18.67,98.57,0.86,0.76,3.89
2019-01-27,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,10.0,Economic Damage,0.0,5.0,+,Field1,2019.0,27.0,13.0,23.15,2.1,86.25,2.15,0.84,6.3,27.83,20.37,18.1,0.84,25.35,34.69,17.13,98.69,0.86,1.71,7.83
2019-01-28,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,-8.0,-,Field1,2019.0,28.0,5.0,23.29,0.03,82.05,1.77,0.83,8.75,28.75,19.14,19.6,0.83,25.1,33.14,16.11,98.71,0.86,2.08,9.21
2019-01-29,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,13.0,+,Field1,2019.0,29.0,17.0,22.55,0.03,83.1,1.41,0.83,7.09,26.99,19.22,21.1,0.82,23.61,33.84,15.61,98.78,0.86,1.88,9.31
2019-01-30,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,-13.0,-,Field1,2019.0,30.0,4.0,22.44,2.43,85.37,0.85,0.82,5.47,27.25,18.58,21.1,0.82,23.7,34.1,15.72,98.86,0.85,1.6,7.72
2019-01-31,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,0.0,Below Threshold,0.0,-2.0,-,Field1,2019.0,31.0,0.0,24.17,9.4,84.72,0.87,0.82,7.58,29.3,19.76,41.4,0.84,25.27,34.89,17.54,98.8,0.85,2.05,8.02
2019-02-01,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,5.0,Economic Threshold,0.0,5.0,+,Field1,2019.0,32.0,7.0,23.47,1.94,81.63,2.08,0.83,8.12,29.39,19.09,15.4,0.83,25.96,34.05,16.57,98.77,0.85,2.07,6.04
2019-02-02,2019.0,Dry,Vegetative,Crop Growth Stage,RBB,8.0,Economic Threshold,0.0,3.0,+,Field1,2019.0,33.0,8.0,23.36,0.5,78.89,1.06,0.82,10.63,30.18,18.56,48.3,0.82,25.49,32.27,15.64,98.79,0.85,2.68,5.88
2019-02-03,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,7.0,Economic Threshold,0.0,-1.0,-,Field1,2019.0,34.0,8.0,23.1,1.39,83.79,0.97,0.82,7.59,28.88,19.46,58.7,0.82,24.57,34.66,16.25,98.86,0.85,1.95,7.58
2019-02-04,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,7.0,Economic Threshold,0.0,0.0,0,Field1,2019.0,35.0,10.0,24.31,0.8,83.76,0.99,0.81,7.56,31.05,19.72,29.5,0.81,26.21,34.81,17.41,98.76,0.85,1.99,7.67
2019-02-05,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,13.0,Economic Damage,0.0,6.0,+,Field1,2019.0,36.0,14.0,24.39,0.89,82.91,0.77,0.81,8.45,29.73,20.43,50.7,0.81,26.28,34.89,17.6,98.73,0.85,2.21,6.42
2019-02-06,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,6.0,Economic Threshold,0.0,-7.0,-,Field1,2019.0,37.0,7.0,24.08,0.62,81.18,0.79,0.8,8.02,30.99,19.31,30.8,0.81,25.82,34.18,16.57,98.72,0.84,2.05,7.35
2019-02-07,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,3.0,+,Field1,2019.0,38.0,9.0,23.04,0.03,75.48,0.67,0.8,10.05,29.63,17.95,53.0,0.8,24.56,32.5,15.0,98.82,0.84,2.52,9.41
2019-02-08,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,10.0,Economic Damage,0.0,1.0,+,Field1,2019.0,39.0,10.0,23.65,0.08,78.59,0.92,0.79,10.69,30.33,17.36,45.2,0.79,25.53,33.11,16.09,98.79,0.84,2.69,5.06
2019-02-09,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,-1.0,-,Field1,2019.0,40.0,10.0,23.79,0.39,77.51,0.86,0.79,9.44,30.37,17.31,66.8,0.79,25.91,33.66,16.07,98.85,0.83,2.41,5.76
2019-02-10,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,7.0,Economic Threshold,0.0,-2.0,-,Field1,2019.0,41.0,7.0,23.17,0.48,82.11,1.01,0.78,9.84,29.85,17.35,72.4,0.79,25.42,33.11,16.43,99.01,0.83,2.54,6.33
2019-02-11,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,6.0,Economic Threshold,0.0,-1.0,-,Field1,2019.0,42.0,8.0,23.03,0.21,82.67,1.5,0.78,9.9,29.89,17.62,48.5,0.79,25.01,32.88,16.21,99.08,0.83,2.56,6.55
2019-02-12,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,7.0,Economic Threshold,0.0,1.0,+,Field1,2019.0,43.0,7.0,21.29,0.0,78.25,1.77,0.78,10.89,27.95,16.4,54.4,0.78,23.01,31.01,13.86,99.15,0.82,2.78,9.93
2019-02-13,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,12.0,Economic Damage,0.0,5.0,+,Field1,2019.0,44.0,14.0,22.48,0.02,76.33,1.06,0.77,10.5,29.17,16.11,58.7,0.78,24.13,31.56,14.78,99.08,0.82,2.72,7.54
2019-02-14,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,1.0,Below Threshold,0.0,-11.0,-,Field1,2019.0,45.0,2.0,23.04,0.57,73.41,0.59,0.77,11.09,30.22,16.86,49.8,0.77,24.63,31.87,14.45,99.03,0.81,2.96,5.87
2019-02-15,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,1.0,Below Threshold,0.0,0.0,0,Field1,2019.0,46.0,1.0,21.9,0.39,81.95,1.26,0.76,10.91,28.59,17.05,79.7,0.77,23.81,31.99,14.55,99.0,0.81,2.86,5.55
2019-02-16,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,6.0,Economic Threshold,0.0,5.0,+,Field1,2019.0,47.0,9.0,22.55,13.36,81.66,0.91,0.76,7.91,30.56,16.35,26.4,0.81,24.38,34.24,15.89,98.9,0.81,2.11,6.68
2019-02-17,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,4.0,Below Threshold,0.0,-2.0,-,Field1,2019.0,48.0,6.0,23.17,1.06,80.48,0.91,0.78,9.83,29.98,18.28,67.0,0.79,24.95,33.17,15.84,98.88,0.81,2.4,5.76
2019-02-18,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,4.0,Below Threshold,0.0,0.0,0,Field1,2019.0,49.0,7.0,22.52,0.04,77.16,1.0,0.77,11.55,29.73,16.31,65.5,0.77,24.25,31.47,14.77,98.99,0.81,2.78,5.49
2019-02-19,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,13.0,Economic Damage,0.0,9.0,+,Field1,2019.0,50.0,13.0,23.25,0.45,80.49,0.97,0.76,8.89,31.09,16.77,51.2,0.77,25.22,33.65,15.99,99.06,0.81,2.26,7.16
2019-02-20,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,12.0,Economic Damage,0.0,-1.0,-,Field1,2019.0,51.0,14.0,22.36,0.01,77.34,1.32,0.76,11.53,29.13,17.62,62.2,0.76,24.14,31.42,14.56,99.05,0.8,2.88,4.82
2019-02-21,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,3.0,+,Field1,2019.0,52.0,16.0,22.84,0.02,76.02,0.82,0.75,10.19,29.92,17.39,32.7,0.76,25.21,32.98,14.94,98.96,0.8,2.49,6.83
2019-02-22,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,-13.0,-,Field1,2019.0,53.0,3.0,23.62,0.0,73.8,0.67,0.75,10.38,31.16,17.05,18.8,0.75,25.37,32.81,15.06,98.81,0.79,2.47,6.52
2019-02-23,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,4.0,Below Threshold,0.0,2.0,+,Field1,2019.0,54.0,7.0,24.28,0.04,76.58,0.87,0.74,10.69,31.08,18.84,9.8,0.75,26.08,32.6,16.04,98.68,0.79,2.55,6.98
2019-02-24,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,1.0,Below Threshold,0.0,-3.0,-,Field1,2019.0,55.0,2.0,23.68,0.01,76.93,1.15,0.74,10.95,30.8,17.86,5.0,0.75,25.54,32.63,15.66,98.68,0.79,2.61,6.75
2019-02-25,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,14.0,+,Field1,2019.0,56.0,16.0,23.01,0.01,77.72,1.16,0.73,11.53,29.75,17.79,357.3,0.74,25.13,31.62,15.38,98.74,0.79,2.79,5.93
2019-02-26,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,-13.0,-,Field1,2019.0,57.0,4.0,23.81,0.0,75.5,0.58,0.73,11.84,30.61,18.1,14.3,0.74,25.44,30.79,15.22,98.68,0.78,2.87,5.54
2019-02-27,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,14.0,Economic Damage,0.0,12.0,+,Field1,2019.0,58.0,15.0,23.46,0.0,70.62,0.6,0.73,11.88,31.01,17.77,29.6,0.74,24.55,30.8,13.52,98.61,0.78,2.75,6.06
2019-02-28,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,7.0,Economic Threshold,0.0,-7.0,-,Field1,2019.0,59.0,9.0,23.15,0.06,68.69,0.73,0.72,11.97,30.55,15.29,57.0,0.73,24.77,31.23,13.73,98.61,0.77,2.78,4.54
2019-03-01,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,1.0,Below Threshold,0.0,-6.0,-,Field1,2019.0,60.0,1.0,24.89,1.29,77.83,0.89,0.72,9.58,31.99,18.77,42.5,0.74,26.52,34.31,16.36,98.65,0.77,2.27,7.85
2019-03-02,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,14.0,Economic Damage,0.0,13.0,+,Field1,2019.0,61.0,14.0,24.83,2.39,78.75,0.79,0.72,8.6,31.63,19.04,59.0,0.74,26.96,35.23,17.13,98.54,0.77,2.18,6.84
2019-03-03,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,-5.0,-,Field1,2019.0,62.0,10.0,25.07,0.44,80.3,0.47,0.72,10.94,30.99,20.98,143.5,0.73,27.03,34.59,17.7,98.52,0.77,2.67,6.55
2019-03-04,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,13.0,Economic Damage,0.0,4.0,+,Field1,2019.0,63.0,14.0,25.77,0.7,72.32,0.59,0.72,10.7,32.21,21.08,93.8,0.73,26.93,33.9,16.56,98.59,0.76,2.76,6.15
2019-03-05,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,6.0,Economic Threshold,0.0,-7.0,-,Field1,2019.0,64.0,9.0,24.67,1.39,79.45,0.91,0.72,8.41,31.23,19.35,75.1,0.72,26.63,34.88,17.23,98.66,0.76,2.17,6.81
2019-03-06,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,0.0,Below Threshold,0.0,-6.0,-,Field1,2019.0,65.0,0.0,24.01,0.8,78.93,1.05,0.71,11.4,31.02,18.63,58.2,0.72,26.31,33.15,16.76,98.69,0.76,2.83,6.2
2019-03-07,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,2.0,+,Field1,2019.0,66.0,2.0,24.37,1.61,79.96,0.87,0.71,7.57,31.71,18.24,32.1,0.73,26.18,35.45,16.95,98.7,0.75,2.02,6.81
2019-03-08,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,12.0,Economic Damage,0.0,10.0,+,Field1,2019.0,67.0,15.0,24.54,0.0,71.53,0.55,0.71,10.8,32.35,18.11,23.5,0.72,26.12,32.93,15.31,98.72,0.75,2.74,7.88
2019-03-09,2019.0,Dry,Reproductive,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,-10.0,-,Field1,2019.0,68.0,5.0,24.6,0.0,80.04,0.68,0.71,9.23,30.32,20.48,337.9,0.71,26.0,34.74,16.98,98.73,0.75,2.31,7.42
2019-03-10,2019.0,Dry,Ripening,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,13.0,+,Field1,2019.0,69.0,16.0,24.35,0.02,82.89,1.02,0.7,9.0,30.27,20.81,293.9,0.71,26.37,35.05,17.35,98.75,0.74,2.27,9.45
2019-03-11,2019.0,Dry,Ripening,Crop Growth Stage,RBB,8.0,Economic Threshold,0.0,-7.0,-,Field1,2019.0,70.0,10.0,24.38,0.0,78.55,1.09,0.7,9.77,29.17,20.37,2.3,0.71,25.95,33.93,16.85,98.72,0.74,2.54,12.16
2019-03-12,2019.0,Dry,Ripening,Crop Growth Stage,RBB,14.0,Economic Damage,0.0,6.0,+,Field1,2019.0,71.0,14.0,24.36,0.01,78.45,0.53,0.7,9.73,31.45,19.43,34.8,0.71,26.24,34.08,16.52,98.75,0.74,2.33,9.16
2019-03-13,2019.0,Dry,Ripening,Crop Growth Stage,RBB,8.0,Economic Threshold,0.0,-6.0,-,Field1,2019.0,72.0,10.0,24.21,0.01,75.4,0.77,0.7,10.76,30.08,19.57,25.2,0.7,26.03,34.17,15.83,98.8,0.74,2.58,8.11
2019-03-14,2019.0,Dry,Ripening,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,1.0,+,Field1,2019.0,73.0,9.0,23.61,0.23,76.42,0.63,0.69,7.56,31.36,17.08,38.4,0.7,26.26,34.57,15.33,98.85,0.73,1.94,6.96
2019-03-15,2019.0,Dry,Ripening,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,0.0,0,Field1,2019.0,74.0,12.0,25.52,0.05,72.23,1.04,0.69,10.82,32.45,19.95,23.7,0.69,27.56,34.71,16.54,98.73,0.73,2.76,7.47
2019-03-16,2019.0,Dry,Ripening,Crop Growth Stage,RBB,10.0,Economic Damage,0.0,1.0,+,Field1,2019.0,75.0,12.0,24.91,0.07,72.78,1.17,0.68,11.77,32.61,18.03,30.2,0.68,27.04,33.54,15.74,98.71,0.73,3.05,5.82
2019-03-17,2019.0,Dry,Ripening,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,5.0,+,Field1,2019.0,76.0,18.0,24.45,9.19,80.99,1.12,0.69,7.97,31.34,19.72,35.6,0.72,26.39,35.53,17.12,98.69,0.72,2.15,9.35
2019-03-18,2019.0,Dry,Ripening,Crop Growth Stage,RBB,2.0,Below Threshold,0.0,-13.0,-,Field1,2019.0,77.0,4.0,24.45,19.86,81.92,1.11,0.7,7.44,30.98,19.38,34.5,0.76,26.19,34.85,17.29,98.62,0.73,1.93,7.77
2019-03-19,2019.0,Dry,Ripening,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,13.0,+,Field1,2019.0,78.0,18.0,22.85,15.78,91.54,1.38,0.74,4.5,24.77,21.22,49.5,0.8,24.4,35.03,18.11,98.55,0.75,1.36,5.45
2019-03-20,2019.0,Dry,Ripening,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,-6.0,-,Field1,2019.0,79.0,9.0,24.74,1.47,82.94,1.09,0.73,8.04,30.83,20.39,85.8,0.74,26.84,35.12,18.16,98.58,0.75,2.09,7.05
2019-03-21,2019.0,Dry,Ripening,Crop Growth Stage,RBB,6.0,Economic Threshold,0.0,-3.0,-,Field1,2019.0,80.0,7.0,24.73,0.38,73.87,0.91,0.72,12.45,32.63,18.37,58.0,0.72,26.59,33.08,16.21,98.58,0.75,3.22,5.16
2019-03-22,2019.0,Dry,Ripening,Crop Growth Stage,RBB,3.0,Below Threshold,0.0,-3.0,-,Field1,2019.0,81.0,5.0,25.12,0.01,78.04,0.71,0.71,11.8,32.57,19.24,337.4,0.71,27.11,33.86,17.24,98.6,0.75,3.06,6.04
2019-03-23,2019.0,Dry,Ripening,Crop Growth Stage,RBB,8.0,Economic Threshold,0.0,5.0,+,Field1,2019.0,82.0,11.0,25.89,0.0,74.27,0.96,0.7,11.61,32.78,20.3,9.4,0.7,27.54,34.51,17.6,98.61,0.74,3.03,6.54
2019-03-24,2019.0,Dry,Ripening,Crop Growth Stage,RBB,14.0,Economic Damage,0.0,6.0,+,Field1,2019.0,83.0,15.0,25.43,0.12,77.56,0.74,0.69,10.65,32.49,20.57,38.4,0.7,27.48,34.71,17.47,98.6,0.74,2.78,6.75
2019-03-25,2019.0,Dry,Ripening,Crop Growth Stage,RBB,3.0,Below Threshold,0.0,-11.0,-,Field1,2019.0,84.0,5.0,24.56,0.02,75.36,1.05,0.69,10.64,30.85,19.06,10.0,0.69,26.37,34.44,16.22,98.72,0.74,2.85,7.55
2019-03-26,2019.0,Dry,Ripening,Crop Growth Stage,RBB,6.0,Economic Threshold,0.0,3.0,+,Field1,2019.0,85.0,9.0,25.19,0.1,71.72,0.66,0.68,11.23,32.69,18.9,13.3,0.68,27.02,33.47,16.16,98.81,0.73,2.83,6.28
2019-03-27,2019.0,Dry,Ripening,Crop Growth Stage,RBB,9.0,Economic Threshold,0.0,3.0,+,Field1,2019.0,86.0,11.0,24.33,20.68,81.89,0.73,0.68,9.32,30.54,19.0,67.1,0.73,26.53,35.07,17.44,98.8,0.73,2.53,7.58
2019-03-28,2019.0,Dry,Ripening,Crop Growth Stage,RBB,12.0,Economic Damage,0.0,3.0,+,Field1,2019.0,87.0,14.0,24.38,15.56,83.02,0.66,0.72,7.78,30.74,20.11,11.0,0.78,26.53,35.82,17.64,98.66,0.73,2.24,10.72
2019-03-29,2019.0,Dry,Ripening,Crop Growth Stage,RBB,4.0,Below Threshold,0.0,-8.0,-,Field1,2019.0,88.0,5.0,24.17,5.15,82.63,0.66,0.73,9.64,28.6,20.49,311.4,0.75,25.15,35.29,17.1,98.64,0.74,2.63,9.1
2019-03-30,2019.0,Dry,Ripening,Crop Growth Stage,RBB,12.0,Economic Damage,0.0,8.0,+,Field1,2019.0,89.0,13.0,24.82,0.24,77.61,0.5,0.72,11.27,31.12,20.31,29.3,0.72,26.47,34.1,16.8,98.66,0.74,2.9,7.12
2019-03-31,2019.0,Dry,Ripening,Crop Growth Stage,RBB,0.0,Below Threshold,0.0,-12.0,-,Field1,2019.0,90.0,0.0,24.46,0.03,72.03,0.71,0.71,11.75,32.48,18.06,28.4,0.71,25.74,32.56,14.8,98.73,0.74,3.06,7.68
2019-04-01,2019.0,Dry,Ripening,Crop Growth Stage,RBB,1.0,Below Threshold,0.0,1.0,+,Field1,2019.0,91.0,3.0,23.55,0.98,73.09,0.7,0.7,9.94,31.18,16.0,342.7,0.7,24.99,34.47,14.36,98.76,0.73,2.65,7.29
2019-04-02,2019.0,Dry,Ripening,Crop Growth Stage,RBB,5.0,Economic Threshold,0.0,4.0,+,Field1,2019.0,92.0,8.0,25.48,0.56,79.24,0.46,0.69,9.52,32.27,20.98,80.2,0.7,26.91,35.18,17.5,98.66,0.73,2.52,7.14
2019-04-03,2019.0,Dry,Ripening,Crop Growth Stage,RBB,15.0,Economic Damage,0.0,10.0,+,Field1,2019.0,93.0,17.0,24.47,0.14,78.37,0.79,0.69,8.51,30.46,20.03,333.8,0.69,26.37,35.85,16.36,98.73,0.73,2.37,8.61
2019-04-04,2019.0,Dry,Ripening,Crop Growth Stage,RBB,10.0,Economic Damage,0.0,-5.0,-,Field1,2019.0,94.0,13.0,25.22,0.09,79.45,0.71,0.68,10.43,30.85,21.09,358.6,0.69,27.05,35.49,17.74,98.71,0.72,2.67,7.21
